workspace_id,user_id,roleHistoryScore,skillMatchScore,availabilityScore,chemistryScore,top_roles
524604a1-c3e3-37a4-b924-2e791d684790,15,0.4863,0.7792,0.3233,0.7173,"[""DEVELOPER"",""REVIEWER""]"
7d17253c-1e4c-3c4f-94af-2be4f1aaaf70,16,0.3448,0.4039,0.7821,0.559,"[""DEVELOPER"",""REVIEWER""]"
0803e9c4-6291-3b4e-a6fc-aaaaf3bb0d01,15,0.4499,0.5998,0.4219,0.8723,"[""DEVELOPER"",""REVIEWER""]"
e3a555ab-7a2a-3f9d-90f3-4cac3db69a4b,16,0.5847,0.8884,0.5285,0.2298,"[""DEVELOPER"",""REVIEWER""]"
6e9497fd-2fb7-31ec-ba0b-6a8e64f278a2,5,0.5,0.5,0.5,0.5,[]
88795234-0449-3414-9901-62afc9e15b96,15,0.5843,0.9043,0.7009,0.6976,"[""DEVELOPER"",""REVIEWER""]"
88795234-0449-3414-9901-62afc9e15b96,4,0.6318,0.7935,0.8358,0.318,"[""PROJECT_MANAGER"",""REVIEWER""]"
524604a1-c3e3-37a4-b924-2e791d684790,14,0.4863,0.674,0.6026,0.8654,"[""DEVELOPER"",""REVIEWER""]"
524604a1-c3e3-37a4-b924-2e791d684790,4,0.4853,0.7062,0.7751,0.2405,"[""PROJECT_MANAGER"",""REVIEWER""]"
e3a555ab-7a2a-3f9d-90f3-4cac3db69a4b,19,0.5845,0.5838,0.3406,0.4656,"[""PROFESSOR"",""REVIEWER""]"
7568afc3-bd39-3bcf-ab13-4abaf1ae0915,16,0.4786,0.5257,0.4551,0.7672,"[""DEVELOPER"",""REVIEWER""]"
993f6e3a-4c42-30b1-be13-c00177f902fa,6,0.3324,0.5758,0.2839,0.8187,"[""DEVELOPER"",""REVIEWER""]"
0803e9c4-6291-3b4e-a6fc-aaaaf3bb0d01,13,0.4502,0.5891,0.7978,0.4006,"[""DEVELOPER"",""REVIEWER""]"
7d17253c-1e4c-3c4f-94af-2be4f1aaaf70,5,0.3473,0.8439,0.4423,0.8051,"[""PROFESSOR"",""REVIEWER""]"
993f6e3a-4c42-30b1-be13-c00177f902fa,18,0.3299,0.861,0.3444,0.4245,"[""DEVELOPER"",""REVIEWER""]"
0803e9c4-6291-3b4e-a6fc-aaaaf3bb0d01,12,0.45,0.9044,0.6099,0.6365,"[""DEVELOPER"",""REVIEWER""]"
fd349e45-e506-348a-99ab-cf88aaa1c145,10,0.3969,0.468,0.3909,0.496,"[""PROJECT_MANAGER"",""REVIEWER""]"
7d17253c-1e4c-3c4f-94af-2be4f1aaaf70,19,0.3449,0.9188,0.4114,0.707,"[""PROFESSOR"",""REVIEWER""]"
7568afc3-bd39-3bcf-ab13-4abaf1ae0915,5,0.4795,0.809,0.7447,0.268,"[""PROFESSOR"",""REVIEWER""]"
7568afc3-bd39-3bcf-ab13-4abaf1ae0915,19,0.4803,0.5773,0.755,0.3007,"[""PROFESSOR"",""REVIEWER""]"
e3a555ab-7a2a-3f9d-90f3-4cac3db69a4b,7,0.5871,0.9186,0.2801,0.8598,"[""DEVELOPER"",""REVIEWER""]"
bab1b9bd-6c7d-3697-91c2-131cc534b86e,13,0.9083,0.5198,0.4598,0.5277,"[""DEVELOPER"",""REVIEWER""]"
bab1b9bd-6c7d-3697-91c2-131cc534b86e,14,0.908,0.4254,0.3633,0.4674,"[""DEVELOPER"",""REVIEWER""]"
e3a555ab-7a2a-3f9d-90f3-4cac3db69a4b,17,0.5849,0.5731,0.7164,0.6739,"[""DEVELOPER"",""REVIEWER""]"
fd349e45-e506-348a-99ab-cf88aaa1c145,9,0.3967,0.7834,0.853,0.7319,"[""DEVELOPER"",""REVIEWER""]"
0803e9c4-6291-3b4e-a6fc-aaaaf3bb0d01,14,0.4502,0.6942,0.5185,0.2526,"[""DEVELOPER"",""REVIEWER""]"
bab1b9bd-6c7d-3697-91c2-131cc534b86e,12,0.9083,0.4147,0.7391,0.6757,"[""DEVELOPER"",""REVIEWER""]"
7568afc3-bd39-3bcf-ab13-4abaf1ae0915,17,0.4788,0.8304,0.6431,0.5314,"[""DEVELOPER"",""REVIEWER""]"
a639ee8a-c018-323f-ac85-7aef485a0748,10,0.5,0.5,0.5,0.5,[]
fd349e45-e506-348a-99ab-cf88aaa1c145,8,0.3968,0.6782,0.4823,0.8799,"[""DEVELOPER"",""REVIEWER""]"
bab1b9bd-6c7d-3697-91c2-131cc534b86e,4,0.9088,0.8137,0.3736,0.5001,"[""PROJECT_MANAGER"",""REVIEWER""]"
88795234-0449-3414-9901-62afc9e15b96,12,0.5847,0.7884,0.706,0.374,"[""DEVELOPER"",""REVIEWER""]"
bab1b9bd-6c7d-3697-91c2-131cc534b86e,15,0.9079,0.5305,0.734,0.3194,"[""DEVELOPER"",""REVIEWER""]"
524604a1-c3e3-37a4-b924-2e791d684790,13,0.4866,0.7685,0.6991,0.2456,"[""DEVELOPER"",""REVIEWER""]"
524604a1-c3e3-37a4-b924-2e791d684790,12,0.4867,0.6633,0.3284,0.3937,"[""DEVELOPER"",""REVIEWER""]"
7d17253c-1e4c-3c4f-94af-2be4f1aaaf70,17,0.3448,0.5091,0.5028,0.4109,"[""DEVELOPER"",""REVIEWER""]"
